ProbeName	ProbeDisplayName	TargetName	HUGOSymbol	Accessions	GenomeBuild	GenomicPosition	AnalyteType	CodeClass	ProbePool	TargetGroup	GeneID
43893	PHGDH_01	PHGDH	PHGDH	"XM_011541228.2,XM_011541226.2,XM_011541227.2,XM_011541231.2,NM_006623.4,XM_024446338.1"	GRCh38.p13	chr1:119744162-119744211	RNA	Endogenous	01	All Targets	26227
44742	TIMM21_01	TIMM21	TIMM21	"XM_005266689.4,NM_014177.3"	GRCh38.p13	chr18:74148956-74149005	RNA	Endogenous	01	All Targets	29090
13121	RPP30_01	RPP30	RPP30	"NM_006413.5,NM_001104546.2"	GRCh38.p13	chr10:90894782-90894818	RNA	Endogenous	01	All Targets	10556
41699	SLC18A1_01	SLC18A1	SLC18A1	"NM_001135691.2,XM_011544626.1,NM_001142325.1,NM_001142324.2,NM_003053.4,XM_011544625.1"	GRCh38.p13	chr8:20145453-20145502	RNA	Endogenous	01	All Targets	6570
34649	CRIP2_01	CRIP2	CRIP2	"NR_073081.2,NR_073084.1,NM_001312.4,XM_024449481.1,NM_001270841.2,XM_024449480.1,NR_073083.2,XR_002957531.1,NR_073085.2,NR_073082.2,NM_001270837.2"	GRCh38.p13	chr14:105479450-105479484	RNA	Endogenous	01	All Targets	1397
39508	C18orf63_01	C18orf63	C18orf63	NM_001174123.2	GRCh38.p13	chr18:74316103-74317876	RNA	Endogenous	01	All Targets	644041
36124	CHRNA3_01	CHRNA3	CHRNA3	"NR_046313.2,XM_006720382.3,NM_000743.5,NM_001166694.2"	GRCh38.p13	chr15:78618854-78618903	RNA	Endogenous	01	All Targets	1136
36036	ORM1_01	ORM1	ORM1	NM_000607.4	GRCh38.p13	chr9:114324814-114324863	RNA	Endogenous	01	All Targets	5004
43014	ARID3A_01	ARID3A	ARID3A	"XM_024451407.1,XM_017026446.1,XM_005259514.4,XM_017026445.1,XM_005259513.5,NM_005224.3"	GRCh38.p13	chr19:972265-972314	RNA	Endogenous	01	All Targets	1820
36440	ANXA2_01	ANXA2	"ANXA2P1,ANXA2P2,ANXA2"	"XM_017022092.1,NM_001002858.3,NR_001562.2,NM_004039.3,XM_024449908.1,NM_001002857.2,XM_017022091.1,NM_001136015.3,NR_003573.1,XM_017022090.1,XM_017022093.1"	GRCh38.p13	"chr15:60347566-60347611,chr9:33625312-33625357,chr4:153307698-153307743"	RNA	Endogenous	01	All Targets	302
51932	CST9L_01	CST9L	CST9L	NM_080610.3	GRCh38.p13	chr20:23568304-23568340	RNA	Endogenous	01	All Targets	128821
38502	SPDYE4_01	SPDYE4	SPDYE4	"XM_005256633.4,NM_001128076.3"	GRCh38.p13	chr17:8753352-8753401	RNA	Endogenous	01	All Targets	388333
45249	SARM1_01	SARM1	SARM1	NM_015077.4	GRCh38.p13	chr17:28400543-28400589	RNA	Endogenous	01	All Targets	23098
44766	SLC6A7_01	SLC6A7	SLC6A7	"XM_024446190.1,XM_017009769.2,XR_001742210.1,XR_001742211.1,XM_017009767.1,XM_017009770.2,XM_017009768.2,XR_001742212.1,NM_014228.5"	GRCh38.p13	chr5:150202398-150202436	RNA	Endogenous	01	All Targets	6534
49914	ZNF491_01	ZNF491	ZNF491	"XM_005259730.4,NM_152356.4"	GRCh38.p13	chr19:11806173-11806222	RNA	Endogenous	01	All Targets	126069
42174	IL18RAP_01	IL18RAP	IL18RAP	"XM_024453197.1,NM_003853.3,XM_024453198.1,XM_024453199.1,XM_017005173.1,XM_011512088.2,XM_024453200.1,XM_024453201.1,XM_011512087.2"	GRCh38.p13	chr2:102452360-102452401	RNA	Endogenous	01	All Targets	8807
49575	TCP10L_01	TCP10L	"CFAP298-TCP10L,TCP10L"	"NR_146638.2,NR_146639.2,NM_001350338.2,NM_144659.7"	GRCh38.p13	chr21:32575016-32575058	RNA	Endogenous	01	All Targets	110091775
37226	FAM78B_01	FAM78B	FAM78B	"NM_001017961.5,XM_017000417.2,NR_135199.1,NR_163271.1"	GRCh38.p13	chr1:166070049-166070096	RNA	Endogenous	01	All Targets	149297
39085	TNFSF13B_01	TNFSF13B	TNFSF13B	"NM_006573.5,NM_001145645.2,XR_001749468.1"	GRCh38.p13	chr13:108269869-108269918	RNA	Endogenous	01	All Targets	10673
35181	ZNF771_01	ZNF771	ZNF771	"NM_016643.3,NM_001142305.2"	GRCh38.p13	chr16:30418270-30418304	RNA	Endogenous	01	All Targets	51333
50553	SREK1IP1_01	SREK1IP1	SREK1IP1	"NM_173829.4,XM_011543344.3"	GRCh38.p13	chr5:64741102-64741151	RNA	Endogenous	01	All Targets	285672
48054	C16orf70_01	C16orf70	C16orf70	"XM_011523350.3,NM_025187.5,NM_001320542.2,NM_001320541.2,XM_006721284.3,XM_017023731.1,NM_001320540.2,XM_017023730.1,XM_017023729.1,NM_001320543.2"	GRCh38.p13	chr16:67120144-67120193	RNA	Endogenous	01	All Targets	80262
42771	KCNK6_01	KCNK6	KCNK6	"NM_004823.3,XM_024451788.1"	GRCh38.p13	chr19:38327842-38327886	RNA	Endogenous	01	All Targets	9424
37424	INSC_01	INSC	INSC	"NM_001042536.3,XM_017017697.1,NM_001278316.1,XR_930868.1,XM_017017698.1,NM_001031853.4,NM_001278313.1,XM_006718227.3,NM_001278314.1,NM_001278315.1,XM_011520086.1,XM_011520085.1"	GRCh38.p13	chr11:15235635-15238934	RNA	Endogenous	01	All Targets	387755
50186	ZNF75A_01	ZNF75A	ZNF75A	"NM_001324085.1,XM_017023645.2,XM_017023644.2,NM_001324041.1,XM_011522647.2,NM_001352498.1,XM_017023643.2,NM_153028.3,XM_011522646.3,NM_001352497.1,NM_001302109.2,NM_001352495.1"	GRCh38.p13	chr16:3311894-3311929	RNA	Endogenous	01	All Targets	7627
40576	CTSZ_01	CTSZ	CTSZ	NM_001336.4	GRCh38.p13	chr20:58996647-58996688	RNA	Endogenous	01	All Targets	1522
42780	EIF2AK3_01	EIF2AK3	EIF2AK3	"NM_001313915.1,XM_017005376.2,NM_004836.7"	GRCh38.p13	chr2:88593318-88593352	RNA	Endogenous	01	All Targets	9451
50344	GPBAR1_01	GPBAR1	GPBAR1	"NM_001321950.1,XM_017003469.1,XM_017003467.1,XM_017003468.1,XM_011510743.1,NM_001077191.2,NM_001077194.2,NM_170699.3"	GRCh38.p13	chr2:218262965-218263008	RNA	Endogenous	01	All Targets	151306
38286	BICDL2_01	BICDL2	BICDL2	"NM_001103175.2,XM_005255135.4,XM_011522391.2,NM_001369667.1"	GRCh38.p13	chr16:3028007-3028047	RNA	Endogenous	01	All Targets	146439
41570	PTPRM_01	PTPRM	PTPRM	"XM_017025912.1,XM_017025898.1,XM_017025899.1,XM_011525717.2,XM_017025911.1,XM_017025910.1,XR_001753258.1,XM_011525712.2,NM_002845.4,XM_011525710.2,XM_017025904.1,XM_017025905.1,XM_017025900.1,XM_017025901.1,NM_001105244.2,XM_011525713.2,XM_011525708.2,XM_017025902.1,XM_017025903.1,NM_001378142.1,NM_001378143.1,NM_001378146.1,NM_001378147.1,XM_017025896.1,XM_017025897.1,NM_001378144.1,NM_001378145.1,XM_017025894.1,XM_017025895.1,XM_017025909.1"	GRCh38.p13	chr18:8069781-8069830	RNA	Endogenous	01	All Targets	5797
44421	HSPBP1_01	HSPBP1	HSPBP1	"XM_017026544.2,NM_012267.5,XM_024451437.1,XM_011526691.1,XM_024451436.1,XM_005258701.3,NM_001130106.1,XM_005258700.2,XM_017026543.2,NM_001297600.2,XM_017026545.1"	GRCh38.p13	chr19:55265947-55265981	RNA	Endogenous	01	All Targets	23640
38908	API5_01	API5	API5	"NM_001142931.2,XM_017018464.1,NM_006595.4,XM_006718359.4,NM_001243747.2,NR_024625.2,NM_001142930.2,XM_017018465.1"	GRCh38.p13	chr11:43335882-43335931	RNA	Endogenous	01	All Targets	8539
47264	ADAMTS2_01	ADAMTS2	ADAMTS2	"NM_021599.4,NM_014244.5"	GRCh38.p13	chr5:179181131-179207537	RNA	Endogenous	01	All Targets	9509
37441	OAS1_01	OAS1	OAS1	"XM_017019361.2,NM_016816.4,NM_001032409.3,XM_006719434.2,NM_001320151.2,XM_017019362.1,XM_011538413.2,NM_002534.3,XR_944558.2"	GRCh38.p13	chr12:112916604-112916653	RNA	Endogenous	01	All Targets	4938
36186	GRIK1_01	GRIK1	GRIK1	"NM_001320621.2,NM_001330993.2,NM_001320616.2,XR_001754829.2,NM_001320630.1,NM_001320618.2,NM_175611.3,NM_000830.5,NM_001330994.2,XM_005260944.3"	GRCh38.p13	chr21:29654827-29672995	RNA	Endogenous	01	All Targets	2897
46803	PSMG2_01	PSMG2	PSMG2	"NM_147163.1,NM_020232.5"	GRCh38.p13	chr18:12720580-12720629	RNA	Endogenous	01	All Targets	56984
37014	FAM171A1_01	FAM171A1	FAM171A1	"XM_017015904.1,NM_001010924.2,XM_017015905.2,XM_011519378.2"	GRCh38.p13	chr10:15212610-15212659	RNA	Endogenous	01	All Targets	221061
40991	DPP4_01	DPP4	DPP4	"NR_166824.1,NM_001379604.1,NR_166825.1,NM_001379605.1,NR_166823.1,NR_166822.1,NM_001935.4,NM_001379606.1"	GRCh38.p13	chr2:161993350-161994970	RNA	Endogenous	01	All Targets	1803
49036	B3GAT1_01	B3GAT1	B3GAT1	"NM_018644.3,NM_054025.3,XM_011542753.2,NM_001367973.1,XM_024448439.1,XM_011542751.3,XM_017017550.1,XM_017017551.2"	GRCh38.p13	chr11:134382938-134382987	RNA	Endogenous	01	All Targets	27087
49118	TBX1_01	TBX1	TBX1	"NM_080647.1,XM_017028928.1,NM_080646.1,XM_017028926.1,NM_001379200.1,NM_005992.1,XM_006724312.2,XM_017028925.1"	GRCh38.p13	chr22:19763292-19763336	RNA	Endogenous	01	All Targets	6899
38494	KCNE1_01	KCNE1	"KCNE1,KCNE1B"	"NM_001270405.2,NM_001127668.3,NM_000219.6,NM_001127669.4,NM_001127670.3,NM_001369869.1,NM_001330065.1,NM_001270402.2,NM_001270403.2,NM_001270404.2,XM_006723946.2"	GRCh38.p13	"chr21:7818458-7818492,chr21:34448470-34448504"	RNA	Endogenous	01	All Targets	3753
35546	RORA_01	RORA	RORA	"XM_017022467.2,NM_002943.3,NM_134260.2,XM_005254584.5,XM_011521879.3,XM_011521875.2,XM_011521878.2,XM_011521874.1,NM_134261.3,NM_134262.3,XM_011521877.3,XM_017022466.2"	GRCh38.p13	chr15:60511565-60511601	RNA	Endogenous	01	All Targets	6095
37344	NANOS2_01	NANOS2	NANOS2	NM_001029861.3	GRCh38.p13	chr19:45913317-45913366	RNA	Endogenous	01	All Targets	339345
37738	SLC9A6_01	SLC9A6	SLC9A6	"NM_001379110.1,XM_017029223.2,XM_017029225.1,NM_006359.3,XM_017029224.1,XM_006724726.3,NM_001330652.2,NM_001177651.2,NM_001042537.1"	GRCh38.p13	chrX:135994805-135994854	RNA	Endogenous	01	All Targets	10479
49732	MRPL10_01	MRPL10	MRPL10	"NM_145255.4,NR_037575.2,NM_148887.3,XM_024450575.1"	GRCh38.p13	chr17:47824081-47824130	RNA	Endogenous	01	All Targets	124995
46801	PRDM10_01	PRDM10	PRDM10	"NM_199439.2,XM_011542912.2,NM_001367893.1,NM_199438.2,NM_020228.3,NM_001367892.1,XM_017018023.1,NM_001367898.1,NM_001367897.1,NM_001367899.1,NM_001367894.1,NM_001367895.1,NM_001367890.1,NM_199437.2,NM_001367891.1,NM_001367896.1"	GRCh38.p13	chr11:129937619-129937668	RNA	Endogenous	01	All Targets	56980
48472	SLC25A33_01	SLC25A33	SLC25A33	"XM_011542296.1,NM_032315.3,XM_005263503.4"	GRCh38.p13	chr1:9582411-9582460	RNA	Endogenous	01	All Targets	84275
41676	SFTPD_01	SFTPD	SFTPD	"XM_011540088.2,NM_003019.5,XM_011540087.1"	GRCh38.p13	chr10:79938228-79940753	RNA	Endogenous	01	All Targets	6441
48317	C1QTNF6_01	C1QTNF6	C1QTNF6	"NM_031910.4,XM_024452152.1,XM_024452153.1,NM_182486.2,XM_011529857.2,XM_024452155.1,XM_017028569.1,XM_024452154.1,XM_024452151.1,XM_024452150.1,NM_001365878.1"	GRCh38.p13	chr22:37182475-37182517	RNA	Endogenous	01	All Targets	114904
41039	FHIT_01	FHIT	FHIT	"NM_001354590.2,NM_001320899.2,NM_001166243.3,NM_001320900.2,NM_001320901.2,NM_002012.4,NR_135491.2,NM_001354589.2"	GRCh38.p13	chr3:59747686-59747735	RNA	Endogenous	01	All Targets	2272
48289	FERMT3_01	FERMT3	FERMT3	"NM_001382448.1,NM_001382361.1,NM_001382364.1,NM_178443.3,NM_001382363.1,NM_001382362.1,NM_031471.6"	GRCh38.p13	chr11:64223362-64223411	RNA	Endogenous	01	All Targets	83706
46798	FAM20C_01	FAM20C	FAM20C	"XM_017012453.1,XM_017012452.1,NM_020223.4,XR_001744837.1,XM_017012454.1,XM_017012450.1,XR_242097.3,XM_017012451.1"	GRCh38.p13	chr7:195644-195678	RNA	Endogenous	01	All Targets	56975
46084	TRPM6_01	TRPM6	TRPM6	"NM_017662.5,NM_001177310.1,NM_001177311.1"	GRCh38.p13	chr9:74724420-74724469	RNA	Endogenous	01	All Targets	140803
39854	MDM4_01	MDM4	MDM4	"NM_001204171.1,XM_024447115.1,XR_001737179.1,XM_024447114.1,XM_017001312.1,XM_017001311.1,NM_001204172.1,XR_001737183.1,NM_001278516.1,NM_001278517.1,NM_001278519.1,XR_002956626.1,NM_001278518.1,XM_017001313.1,XR_001737180.2,XR_001737181.1,NM_002393.5"	GRCh38.p13	chr1:204549418-204549467	RNA	Endogenous	01	All Targets	4194
2225	CXCR1_01	CXCR1	CXCR1	NM_000634.3	GRCh38.p13	chr2:218164201-218164250	RNA	Endogenous	01	All Targets	3577
12307	IL1A_01	IL1A	IL1A	"NM_001371554.1,NM_000575.5"	GRCh38.p13	chr2:112781785-112781826	RNA	Endogenous	01	All Targets	3552
47298	IL21R_01	IL21R	IL21R	"NM_021798.4,XM_011545857.3,NM_181079.5,NM_181078.3,XM_011545858.3,XM_017023257.2"	GRCh38.p13	chr16:27449677-27449722	RNA	Endogenous	01	All Targets	50615
42773	ABCG2_01	ABCG2	ABCG2	"NM_004827.3,NM_001348987.1,NM_001348986.1,XM_017008852.2,NM_001257386.2,XM_011532420.3,NM_001348989.1,XM_005263355.4,NM_001348988.1,NM_001348985.1"	GRCh38.p13	chr4:88097518-88097567	RNA	Endogenous	01	All Targets	9429
43283	TDO2_01	TDO2	TDO2	NM_005651.4	GRCh38.p13	chr22:42214415-42214464	RNA	Endogenous	01	All Targets	6999
43596	NEUROG1_01	NEUROG1	NEUROG1	NM_006161.3	GRCh38.p13	chr5:135534660-135534709	RNA	Endogenous	01	All Targets	4762
46071	BNC2_01	BNC2	BNC2	"NM_001317939.2,NM_017637.6,NM_001317940.2"	GRCh38.p13	chr9:16436434-16436483	RNA	Endogenous	01	All Targets	54796
50997	TMEM229B_01	TMEM229B	TMEM229B	"NM_001348549.2,NM_001348548.2,NM_001348547.2,NM_001348546.1,NM_001348543.2,NM_001348542.2,NM_182526.2,NM_001348541.2,NM_001348544.2"	GRCh38.p13	chr14:67472299-67472348	RNA	Endogenous	01	All Targets	161145
42009	FOXN1_01	FOXN1	FOXN1	"XM_011525370.2,XM_017025229.1,XM_011525368.2,XM_017025228.1,XM_011525358.1,XM_017025230.1,XM_011525359.1,XM_017025231.1,XM_011525367.1,NM_001369369.1,NM_003593.2,XM_011525362.1,XM_011525369.2"	GRCh38.p13	chr17:28530780-28530829	RNA	Endogenous	01	All Targets	8456
35920	NEU1_01	NEU1	NEU1	NM_000434.4	GRCh38.p13	chr6:31859516-31859564	RNA	Endogenous	01	All Targets	4758
47960	POF1B_01	POF1B	POF1B	"NM_001307940.2,XM_005262203.4,NM_024921.4"	GRCh38.p13	chrX:85303410-85303459	RNA	Endogenous	01	All Targets	79983
41635	RPS27A_01	RPS27A	RPS27A	"NM_002954.6,NM_001135592.2,NM_001177413.1"	GRCh38.p13	chr2:55235486-55235535	RNA	Endogenous	01	All Targets	6233
35514	DDX52_01	DDX52	DDX52	"XM_011524232.2,XM_011524233.3,NM_001291476.2,NM_007010.5"	GRCh38.p13	chr17:37632220-37632264	RNA	Endogenous	01	All Targets	11056
51694	IDNK_01	IDNK	IDNK	"XM_006717110.3,XM_017014719.1,NM_001001551.4,XM_017014724.1,NR_046422.2,NM_001351535.2,NR_046421.2,NM_001256915.1,XM_006717111.4"	GRCh38.p13	chr9:83643847-83643896	RNA	Endogenous	01	All Targets	414328
12528	MIA_01	MIA	MIA	"NM_001202553.2,NM_006533.4"	GRCh38.p13	chr19:40777065-40777420	RNA	Endogenous	01	All Targets	8190
47448	C17orf75_01	C17orf75	C17orf75	"XM_017024941.2,NM_022344.4,XM_017024940.2,XM_005258022.4"	GRCh38.p13	chr17:32339841-32339890	RNA	Endogenous	01	All Targets	64149
50444	LSM11_01	LSM11	LSM11	NM_173491.4	GRCh38.p13	chr5:157754035-157754084	RNA	Endogenous	01	All Targets	134353
47673	DCTPP1_01	DCTPP1	DCTPP1	"NR_134471.1,NR_134470.2,NM_024096.2"	GRCh38.p13	chr16:30424032-30424081	RNA	Endogenous	01	All Targets	79077
39614	MCIDAS_01	MCIDAS	MCIDAS	"XM_017009439.2,NM_001190787.3"	GRCh38.p13	chr5:55219725-55219774	RNA	Endogenous	01	All Targets	345643
42172	SUCLA2_01	SUCLA2	SUCLA2	NM_003850.3	GRCh38.p13	chr13:47954276-47954438	RNA	Endogenous	01	All Targets	8803
43766	OLFM4_01	OLFM4	OLFM4	NM_006418.5	GRCh38.p13	chr13:53051840-53051889	RNA	Endogenous	01	All Targets	10562
42139	RIPK1_01	RIPK1	RIPK1	"XM_017011405.1,NM_001354932.2,NM_003804.6,NM_001354933.2,NM_001354931.2,NM_001354934.2,XM_017011403.1,NM_001354930.2,XM_006715237.3,NM_001317061.3"	GRCh38.p13	chr6:3085331-3085380	RNA	Endogenous	01	All Targets	8737
13077	RHOBTB3_01	RHOBTB3	RHOBTB3	"XM_011543279.2,XM_017009237.1,NM_014899.4,XM_017009236.1"	GRCh38.p13	chr5:95793079-95793117	RNA	Endogenous	01	All Targets	22836
44181	VPREB1_01	VPREB1	VPREB1	"NM_007128.4,NM_001303509.2"	GRCh38.p13	chr22:22245022-22245063	RNA	Endogenous	01	All Targets	7441
35277	MELK_01	MELK	MELK	"XM_011518079.1,XM_011518084.2,XM_011518081.2,XM_011518085.1,XM_011518083.2,XM_011518077.1,NR_046337.1,NM_001256687.1,NM_014791.4,XM_011518082.2,NM_001256690.1,XM_011518086.2,NM_001256688.1,XM_011518078.2,NM_001256689.1,XM_011518076.2,NM_001256685.1,NM_001256693.1,NM_001256692.1,XM_011518080.1,NM_001256691.1"	GRCh38.p13	chr9:36599394-36599429	RNA	Endogenous	01	All Targets	9833
48755	OR2B2_01	OR2B2	OR2B2	NM_033057.2	GRCh38.p13	chr6:27912297-27912346	RNA	Endogenous	01	All Targets	81697
38811	ZNF841_01	ZNF841	ZNF841	"NM_001369826.1,NM_001321349.1,XM_017026653.1,NM_001352298.1,XR_002958303.1,XR_002958302.1,NM_001352299.1,NM_001369825.1,NM_001369828.1,XM_024451464.1,XR_002958301.1,XM_024451465.1,NM_001369830.1,NM_001136499.1,NM_001369827.1"	GRCh38.p13	chr19:52064494-52064543	RNA	Endogenous	01	All Targets	284371
39709	LRRC3C_01	LRRC3C	LRRC3C	"XM_017024003.1,NM_001195545.2,XM_011524158.2"	GRCh38.p13	chr17:39941538-39943970	RNA	Endogenous	01	All Targets	100505591
50027	ZNF746_01	ZNF746	ZNF746	"NM_152557.5,XM_005249955.2,NM_001163474.1,XM_005249957.1,XM_011515838.1,NM_001363517.2"	GRCh38.p13	chr7:149473384-149473423	RNA	Endogenous	01	All Targets	155061
51076	HPN_01	HPN	HPN	"NM_002151.2,NM_001384133.1,XM_017026732.1,NM_182983.2,NM_001375441.1,XM_017026731.1"	GRCh38.p13	chr19:35065873-35065912	RNA	Endogenous	01	All Targets	3249
11869	EIF5_01	EIF5	EIF5	"NM_183004.5,NM_001969.5"	GRCh38.p13	chr14:103339684-103339725	RNA	Endogenous	01	All Targets	1983
40231	FAR2_01	FAR2	FAR2	"XM_017019624.2,XM_011520747.2,XM_011520748.3,NM_001271784.2,NM_018099.5,NM_001271783.2,XM_017019625.2"	GRCh38.p13	chr12:29335226-29335275	RNA	Endogenous	01	All Targets	55711
47924	ZNF672_01	ZNF672	ZNF672	"NM_024836.3,XM_005270336.2"	GRCh38.p13	chr1:248844574-248844611	RNA	Endogenous	01	All Targets	79894
49842	EPN2_01	EPN2	EPN2	"NM_148921.3,NM_014964.4,NM_001102664.1"	GRCh38.p13	chr17:19336592-19336626	RNA	Endogenous	01	All Targets	22905
51212	ZNF621_01	ZNF621	ZNF621	"XM_017006226.2,XM_005265080.4,NM_001287245.1,XM_006713114.4,NM_198484.5,XM_011533610.3,NM_001098414.3,XM_005265079.4"	GRCh38.p13	chr3:40532043-40532087	RNA	Endogenous	01	All Targets	285268
41161	IL13_01	IL13	IL13	"NM_001354993.2,NM_001354991.2,NM_002188.3,NM_001354992.2"	GRCh38.p13	chr5:132660394-132660443	RNA	Endogenous	01	All Targets	3596
45360	JADE2_01	JADE2	JADE2	"NM_001289985.2,NM_015288.6,NM_001289984.2,NM_001308143.2,XM_024446007.1,XM_005271945.2,XM_005271948.4,XM_017009282.1,XM_005271946.2,XM_011543291.3"	GRCh38.p13	chr5:134582506-134582555	RNA	Endogenous	01	All Targets	23338
44441	EPB41L3_01	EPB41L3	EPB41L3	"NM_001281534.3,NM_001384702.1,NM_001281535.2,XM_011525637.3,XM_017025653.2,NM_001384705.1,NM_001384690.1,NM_001384704.1,XM_011525634.3,NM_001384693.1,NM_001384692.1,NM_001384697.1,NM_001384696.1,XM_017025635.2,NM_001384706.1,XM_017025649.2,XM_017025627.2,XM_017025626.2,XM_011525632.3,NM_001384691.1,NM_001281533.2,NM_001384694.1,XM_017025650.2,XM_017025631.2,XM_017025618.2,NM_001384699.1,NM_001384698.1,XM_017025619.2,NM_001384701.1,NM_001384700.1,NM_001330557.2,XM_017025647.2,XM_011525626.3,XM_017025621.2,XM_017025638.2,XM_017025623.2,XM_017025620.2,XM_011525623.3,NM_001384695.1,NM_001384703.1,NM_001384684.1,NM_001384685.1,NM_012307.5,XM_017025622.2,NM_001384683.1,NM_001384682.1,XM_017025641.2,NM_001384686.1,NM_001384688.1,NM_001384687.1,NM_001384689.1,XM_017025645.2,XM_017025634.2,XM_017025624.2"	GRCh38.p13	chr18:5393027-5393076	RNA	Endogenous	01	All Targets	23136
50896	KRTAP13-1_01	KRTAP13-1	KRTAP13-1	NM_181599.3	GRCh38.p13	chr21:30396620-30396669	RNA	Endogenous	01	All Targets	140258
39875	TM4SF19_01	TM4SF19	TM4SF19	"NM_001204898.2,NM_138461.4,NM_001204897.2"	GRCh38.p13	chr3:196323658-196323707	RNA	Endogenous	01	All Targets	116211
45685	BOLA1_01	BOLA1	BOLA1	"NM_016074.5,XM_006711348.3,NM_001321025.2,NM_001321026.2"	GRCh38.p13	chr1:149900727-149900776	RNA	Endogenous	01	All Targets	51027
41782	TAF4_01	TAF4	TAF4	NM_003185.3	GRCh38.p13	chr20:61976181-61976230	RNA	Endogenous	01	All Targets	6874
40797	ALCAM_01	ALCAM	ALCAM	"NM_001243283.1,NM_001243281.1,NM_001627.4,NM_001243280.2"	GRCh38.p13	chr3:105520087-105520136	RNA	Endogenous	01	All Targets	214
47141	TLX3_01	TLX3	TLX3	NM_021025.4	GRCh38.p13	chr5:171309558-171309592	RNA	Endogenous	01	All Targets	30012
41115	HLA-DPB1_01	HLA-DPB1	HLA-DPB1	NM_002121.6	GRCh38.p13	chr6:33086630-33086679	RNA	Endogenous	01	All Targets	3115
48175	DDX17_01	DDX17	DDX17	"NM_001098504.2,NM_006386.5"	GRCh38.p13	chr22:38487990-38488033	RNA	Endogenous	01	All Targets	10521
47030	KCNT1_01	KCNT1	KCNT1	"XM_024447617.1,XM_017014931.1,XM_024447618.1,XM_011518877.3,NM_020822.3,NM_001272003.2,XM_011518880.1,XM_017014933.1,XM_017014932.1,XM_011518879.3,XM_011518881.3,XM_011518878.3"	GRCh38.p13	chr9:135755149-135756886	RNA	Endogenous	01	All Targets	57582
47913	CBLL1_01	CBLL1	CBLL1	"XM_011516580.3,XM_017012645.1,XM_017012644.1,NM_001284291.1,NM_024814.4,XM_024446936.1,XM_024446938.1,XM_024446937.1,XM_024446939.1,NR_024199.2,XM_017012643.1"	GRCh38.p13	chr7:107759202-107759251	RNA	Endogenous	01	All Targets	79872
42576	KIF5C_01	KIF5C	KIF5C	"XM_011511157.2,XM_017004062.1,NM_004522.3,NR_111932.2"	GRCh38.p13	chr2:148983721-148991013	RNA	Endogenous	01	All Targets	3800
11895	EPOP_01	EPOP	EPOP	NM_001130677.2	GRCh38.p13	chr17:38673687-38673721	RNA	Endogenous	01	All Targets	100170841
39428	ERICH5_01	ERICH5	ERICH5	"NM_173549.3,NM_001170806.1"	GRCh38.p13	chr8:98093339-98093388	RNA	Endogenous	01	All Targets	203111
40168	ITPA_01	ITPA	ITPA	"NM_001324238.2,NM_001267623.2,NM_001324240.2,NM_033453.4,XM_006723564.3,XM_011529234.2,NM_001324237.2,NM_001351739.2,NR_052000.2,XM_024451880.1,XM_006723565.3,NM_001324236.2,NR_052002.2,NM_181493.4"	GRCh38.p13	chr20:3218535-3218576	RNA	Endogenous	01	All Targets	3704
43789	PAICS_01	PAICS	PAICS	"NM_001079524.2,NM_001079525.2,XM_011534366.1,NM_006452.3"	GRCh38.p13	chr4:56461027-56461076	RNA	Endogenous	01	All Targets	10606
43990	MALT1_01	MALT1	MALT1	"NM_173844.3,XR_001753136.1,XM_011525794.1,XR_001753135.1,XR_001753134.1,NM_006785.4"	GRCh38.p13	chr18:58709430-58709479	RNA	Endogenous	01	All Targets	10892
44492	CDK14_01	CDK14	CDK14	"NM_012395.3,NM_001287136.1,NM_001287137.1,NM_001287135.2"	GRCh38.p13	chr7:91209282-91209331	RNA	Endogenous	01	All Targets	5218
43797	POLR3F_01	POLR3F	POLR3F	"XM_011529141.1,NR_104209.2,NM_006466.4,XR_937031.1,XM_017027596.1,NM_001282526.2"	GRCh38.p13	chr20:18468959-18469008	RNA	Endogenous	01	All Targets	10621
50403	NFATC1_01	NFATC1	NFATC1	"NM_172388.3,NM_172387.3,XM_017025783.2,NM_172389.3,NM_001278675.2,NM_001278670.2,NM_001278669.2,NM_172390.3,NM_001278673.1,NM_001278672.2,NM_006162.5"	GRCh38.p13	chr18:79467498-79467547	RNA	Endogenous	01	All Targets	4772
49275	MBNL3_01	MBNL3	MBNL3	"XM_005262434.3,XM_005262439.3,XM_017029638.1,XM_024452404.1,XM_024452401.1,NM_133486.2,XM_005262442.3,XM_005262438.3,XM_024452403.1,XM_005262441.3,XM_024452402.1,XM_017029636.1,XM_005262440.3,NM_001170704.2,XM_017029639.1,NM_001170701.2,XM_005262431.3,NM_018388.3,NM_001170702.1,NM_001170703.1,XM_005262436.4,XM_005262437.3,XM_011531364.2,XM_017029633.1"	GRCh38.p13	chrX:132392182-132392231	RNA	Endogenous	01	All Targets	55796
35380	SPRY4_01	SPRY4	SPRY4	"NM_001127496.3,NM_030964.4,NM_001293290.2,XM_017009910.2,NM_001293289.2,XM_011537685.3"	GRCh38.p13	chr5:142314763-142314797	RNA	Endogenous	01	All Targets	81848
43838	CACNG3_01	CACNG3	CACNG3	NM_006539.4	GRCh38.p13	chr16:24361496-24361545	RNA	Endogenous	01	All Targets	10368
